,index
20151119,1231.5039359134146
20151120,1233.4504608092368
20151123,1232.177239695562
20151124,1236.6420955516762
20151125,1238.5187860682518
20151126,1240.8480632469211
20151127,1237.3955173566642
20151130,1237.9383917804394
20151201,1238.7580803980322
20151202,1240.3582080854503
20151203,1240.5366723472623
20151204,1239.5879808746515
20151207,1241.956605093579
20151208,1239.2048890364142
20151209,1239.9622725330696
20151210,1239.9174819453194
20151211,1242.7541500289374
20151214,1242.3634813520284
20151215,1242.900668738626
20151216,1243.5788934057346
20151217,1243.4505136261732
20151218,1247.395055457502
20151221,1251.3198794316102
20151222,1251.4838999669785
20151223,1251.8366184183462
20151224,1252.351160794011
20151225,1252.2856596227305
20151228,1250.6772195880303
20151229,1251.3952060751235
20151230,1251.8819685484557
20151231,1251.524992636812
20160104,1247.7917250350245
20160105,1245.6137620591126
20160106,1246.9773573379728
20160107,1245.236565601469
20160108,1247.1374233952454
20160111,1244.989032942084
20160112,1246.3081881833668
20160113,1247.0835276286723
20160114,1245.2553552161237
20160115,1246.0543660596995
20160118,1245.96451255054
20160119,1247.2068889914606
20160120,1246.3037206097808
20160121,1246.5834857283885
20160122,1247.365848087315
20160125,1244.3950970457677
20160126,1245.5858230188542
20160127,1245.499327621359
20160128,1246.035340705219
20160129,1246.988296874228
20160201,1246.5923588499645
20160202,1245.4869805214855
20160203,1245.454158411237
20160204,1247.4484260421475
20160205,1248.6331986921589
20160215,1250.1724259422929
20160216,1248.1464754855522
20160217,1246.8423801644567
20160218,1247.947717590702
20160219,1249.3102367849533
20160222,1249.146266217995
20160223,1248.2898293778433
20160224,1247.3504479956478
20160225,1246.727999051565
20160226,1246.2388155292142
20160229,1245.6149975564351
20160301,1247.9754077370178
20160302,1250.4113360566375
20160303,1249.623795299378
20160304,1253.3703681003285
20160307,1251.909011962023
20160308,1251.790036507802
20160309,1253.11584922352
20160310,1252.3978396756115
20160311,1254.6882532571774
20160314,1255.0433426561715
20160315,1254.1458694044543
20160316,1257.0243477540555
20160317,1259.0658637030149
20160318,1261.5122459620748
20160321,1261.0162665679784
20160322,1261.5804951253065
20160323,1261.5057532331734
20160324,1260.9525402133236
20160325,1262.4394904978478
20160328,1259.8743537359492
20160329,1260.3537654738752
20160330,1262.8774424410915
20160331,1261.975896174505
20160401,1263.7805231756593
20160405,1262.4875085781964
20160406,1261.2081137083694
20160407,1259.6748236361643
20160408,1259.779193780576
20160411,1262.3349372600728
20160412,1262.5011143180911
20160413,1263.636409281502
20160414,1261.7381139322545
